KGO,0,0,subjek
KB,0,0,subjek
KGO,keterangan,0,subjek
KB,keterangan,0,subjek
KK,subjek,0,predikat
KK,imbuhan,0,predikat
KK,penjelas,0,predikat
KK,Kdepan,0,predikat
KKI,subjek,0,predikat
KKI,imbuhan,0,predikat
KKI,penjelas,0,predikat
KKI,Kdepan,0,predikat
KKT,subjek,0,predikat
KKT,imbuhan,0,predikat
KKT,penjelas,0,predikat
KKT,Kdepan,0,predikat
KGO,predikat,0,objek
KB,predikat,0,objek
KT,subjek,0,penjelas
KD,subjek,0,Kdepan
KSD,predikat,0,partikel
KSD,objek,0,partikel
KS,partikel,0,pelengkap
KD,objek,0,Kdepan
KB,Kdepan,0,keterangan
KB,keterangan,0,sama
KS,Kdepan,0,pelengkap
KSD,predikat,0,partikel
KD,predikat,0,Kdepan
KD,pelengkap,0,Kdepan
KS,Kdepan,0,keterangan
BLPP,objek,0,keterangan
KGO,0,predikat,subjek
KB,0,predikat,subjek
KK,subjek,objek,predikat
KK,Kdepan,objek,predikat
KKI,subjek,objek,predikat
KKT,subjek,objek,predikat
KGO,predikat,pelengkap,objek
KB,predikat,pelengkap,objek
KGO,predikat,keterangan,objek
KB,predikat,keterangan,objek
KS,pelengkap,0,keterangan
BLPP,0,0,keterangan
KD,penjelas,0,Kdepan